paper_id,title,doi,pmid,pmcid,year,journal,authors,source_database,discovery_route,discovery_query,review_seed_doi,is_review,full_text_available,processing_status,notes
P01cb888f2da5,Novel prokaryotic CRISPR-Cas12a-based tool for programmable transcriptional activation and repression,10.1021/acssynbio.0c00424,33238093,,,,,europe_pmc_table_reference,review_reference,table extraction: Recent advances of Cas12a applications in bacteria / Table 2 || table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.1007/s00253-021-11243-9; 10.3389/fgeed.2022.892304,False,False,discovered,From table 'Table 2' (Overview of Cas12a applications for gene editing and regulation in bacteria); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'Table 2' (Overview of Cas12a applications for gene editing and regulation in bacteria); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'Table 2' (Overview of Cas12a applications for gene editing and regulation in bacteria); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Paenibacillus polymyxa
P0222bdb8ead4,Disease Modeling by Efficient Genome Editing Using a Near PAM-Less Base Editor In Vivo,10.1038/s41467-022-31172-z,35701478,,,,,europe_pmc_table_reference,review_reference,table extraction: Advances in Fish Gene Editing / Table 3,Pd914db8e3a16,False,False,discovered,From table 'Table 3' (Summary of Gene Editing Applications for Human Disease Modeling in Fish.); organism_guess=ctnnb1 cbl || From table 'Table 3' (Summary of Gene Editing Applications for Human Disease Modeling in Fish.); organism_guess=ctnnb1 cbl || From table 'Table 3' (Summary of Gene Editing Applications for Human Disease Modeling in Fish.); organism_guess=ctnnb1 cbl
P024792a58597,A facile approach for development of a vaccine made of bacterial double-layered membrane vesicles (DMVs),10.1016/j.biomaterials.2018.09.042,30292939,,,,,europe_pmc_table_reference,review_reference,table extraction: Engineering Bacterial Extracellular Vesicles as Nanoweapons to Fight a / Table 4.,10.34133/research.1135,False,False,discovered,From table 'Table 4.' (Engineered BEVs exploited for the bacterial infection treatment: their anti-infe); organism_guess=P. aeruginosa || From table 'Table 4.' (Engineered BEVs exploited for the bacterial infection treatment: their anti-infe); organism_guess=P. aeruginosa || From table 'Table 4.' (Engineered BEVs exploited for the bacterial infection treatment: their anti-infe); organism_guess=P. aeruginosa
P02b447ab682b,,10.1101/2020.12.26.424426,,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,"From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=S. coelicolor, S. venezuelae, S. rapamycinicus, S. || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=S. coelicolor, S. venezuelae, S. rapamycinicus, S. || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=S. coelicolor, S. venezuelae, S. rapamycinicus, S."
P02f71b35e807,,10.1111/tpj.14771,32282967,,,,,europe_pmc_table_reference,review_reference,table extraction: Enhancing structural diversity of terpenoids by multisubstrate terpene / Table 1,10.3762/bjoc.20.86,False,False,discovered,From table 'Table 1' (MSTSs in plants.); organism_guess=Setaria italica || From table 'Table 1' (MSTSs in plants.); organism_guess=Setaria italica || From table 'Table 1' (MSTSs in plants.); organism_guess=Setaria italica
P031d32d06aa1,"Efficient Production of α-L-Rhamnosidase podoRha through Multi-Strategy Synergistic Regulation Involving Molecular Chaperones, Osmolytes, and High-Density Fermentation Management in Escherichia Coli, and Its Application in Isoquercitrin Production via Resting Cell Transformation",10.1016/j.ijbiomac.2025.145755,40618807,,,,,europe_pmc_table_reference,review_reference,table extraction: Microbial α-L-Rhamnosidases: Regioselective Biocatalysts for Flavonoid / Table 4,P4e0b12154a9b,False,False,discovered,From table 'Table 4' (Recent Engineering Strategies and Technological Advances in Microbial α-L-Rhamno); organism_guess=Escherichia coli || From table 'Table 4' (Recent Engineering Strategies and Technological Advances in Microbial α-L-Rhamno); organism_guess=Escherichia coli || From table 'Table 4' (Recent Engineering Strategies and Technological Advances in Microbial α-L-Rhamno); organism_guess=Escherichia coli
P033c678f2c64,An Improved CRISPR Interference Tool to Engineer Rhodococcus Opacus,10.1021/acssynbio.0c00591,33787248,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Rhodococcus opacus
P0346723bbbb7,H-NS Family Members MvaT and MvaU Regulate the Pseudomonas aeruginosa Type III Secretion System,10.1128/JB.00054-19,30782629,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa
P0422b6975d81,Multiplex Genetic Engineering Improves Endogenous Expression of Mesophilic α-amylase Gene in a Wild Strain Bacillus Amyloliquefaciens 205,10.1016/j.ijbiomac.2020.09.210,33010275,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,"From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens, B. methanolicus, B. licheniformis || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens, B. methanolicus, B. licheniformis || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=B. amyloliquefaciens, B. methanolicus, B. licheniformis"
P047c98512bf6,,10.1186/s12645-019-0055-y,,,,,,europe_pmc_table_reference,review_reference,table extraction: Engineering host‑defense peptides enhanced by artificial intelligence  / Table 2,10.1016/j.engmic.2026.100277,False,False,discovered,From table 'Table 2' (Advantages and limitations of various nanocarrier delivery strategies for AMPs t); organism_guess=n/a || From table 'Table 2' (Advantages and limitations of various nanocarrier delivery strategies for AMPs t); organism_guess=n/a || From table 'Table 2' (Advantages and limitations of various nanocarrier delivery strategies for AMPs t); organism_guess=n/a
P048124e70533,"A Dynamic, Ring-Forming Bactofilin Critical for Maintaining Cell Size in the Obligate Intracellular Bacterium Chlamydia trachomatis",10.1128/IAI.00203-21,33941579,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=n/a || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=n/a || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=n/a
P04cc3d62f63b,DeepSTARR predicts enhancer activity from DNA sequence and enables the de novo design of synthetic enhancers,10.1038/s41588-022-01048-5,35551305,,,,,europe_pmc_table_reference,review_reference,table extraction: Engineering genetic elements for microbial protein expression systems: / Table 3,10.1016/j.synbio.2025.10.008,False,False,discovered,From table 'Table 3' (AI-driven frameworks for regulatory element design.); organism_guess=Drosophila melanogaster || From table 'Table 3' (AI-driven frameworks for regulatory element design.); organism_guess=Drosophila melanogaster || From table 'Table 3' (AI-driven frameworks for regulatory element design.); organism_guess=Drosophila melanogaster
P06026fab53a3,"[untitled reference, doi=10.1016/j.ibiod.2013.12.008]",10.1016/j.ibiod.2013.12.008,,,,,AUTHOR UNKNOWN,europe_pmc_references,review_reference,references of P452d16b2c0c8 (Engineering microbes for direct fermentation of cellulose to bioethanol),10.1080/07388551.2018.1452891,False,False,discovered,
P069f3a0cd476,Modification of Eclipse simulator for microbial enhanced oil recovery,10.1007/s13202-019-0608-y,,,,,,europe_pmc_table_reference,review_reference,"table extraction: Microbial processes in geological carbon sequestration: Mechanisms, me / Table 5",10.1016/j.isci.2026.115792,False,False,discovered,From table 'Table 5' (Representative numerical modeling tools and key features for microbially influen); organism_guess=n/a || From table 'Table 5' (Representative numerical modeling tools and key features for microbially influen); organism_guess=n/a || From table 'Table 5' (Representative numerical modeling tools and key features for microbially influen); organism_guess=n/a
P06c05a651ea9,Development of Dual‐inducible Duet‐expression Vectors for Tunable Gene Expression Control and CRISPR Interference‐based Gene Repression in Pseudomonas Putida KT2440,10.1111/1751-7915.13832,34009716,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,"From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. putida, P. fluorescens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. putida, P. fluorescens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. putida, P. fluorescens || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=P. aeruginosa"
P06d8b09fe742,α-L-Rhamnosidase: A Review,10.1016/j.procbio.2010.05.025,,,,,,europe_pmc_table_reference,review_reference,table extraction: Microbial α-L-Rhamnosidases: Regioselective Biocatalysts for Flavonoid / Table 1 || table extraction: Microbial α-L-Rhamnosidases: Regioselective Biocatalysts for Flavonoid / Table 2 || table extraction: Microbial α-L-Rhamnosidases: Regioselective Biocatalysts for Flavonoid / Table 6 || table extraction: Microbial α-L-Rhamnosidases: Regioselective Biocatalysts for Flavonoid / Table 7,P4e0b12154a9b,False,False,discovered,From table 'Table 1' (Representative Microbial Sources and Biochemical Properties of α-L-Rhamnosidases); organism_guess=Aspergillus niger || From table 'Table 2' (Comparative Features of GH78 and GH106 α-L-Rhamnosidases.); organism_guess=n/a || From table 'Table 6' (Analytical and Biochemical Methods for α-L-Rhamnosidase Characterization.); organism_guess=n/a || From table 'Table 7' (Food Processing and Beverage Applications of Microbial α-L-Rhamnosidases.); organism_guess=Citrus || From table 'Table 1' (Representative Microbial Sources and Biochemical Properties of α-L-Rhamnosidases); organism_guess=Aspergillus niger || From table 'Table 2' (Comparative Features of GH78 and GH106 α-L-Rhamnosidases.); organism_guess=n/a || From table 'Table 6' (Analytical and Biochemical Methods for α-L-Rhamnosidase Characterization.); organism_guess=n/a || From table 'Table 7' (Food Processing and Beverage Applications of Microbial α-L-Rhamnosidases.); organism_guess=Citrus || From table 'Table 1' (Representative Microbial Sources and Biochemical Properties of α-L-Rhamnosidases); organism_guess=Aspergillus niger || From table 'Table 2' (Comparative Features of GH78 and GH106 α-L-Rhamnosidases.); organism_guess=n/a || From table 'Table 6' (Analytical and Biochemical Methods for α-L-Rhamnosidase Characterization.); organism_guess=n/a || From table 'Table 7' (Food Processing and Beverage Applications of Microbial α-L-Rhamnosidases.); organism_guess=Citrus
P0717d2cb6454,Electrochemical and microbiological response of exoelectrogenic biofilm to polyethylene microplastics in water,10.1016/j.watres.2022.118046,35030360,,,,,europe_pmc_table_reference,review_reference,table extraction: Plastic pollution and degradation pathways: A review on the treatment  / Table 4,10.1016/j.heliyon.2024.e28849,False,False,discovered,From table 'Table 4' (Previous research on the degradation of microplastic with microbes and microalga); organism_guess=n/a || From table 'Table 4' (Previous research on the degradation of microplastic with microbes and microalga); organism_guess=n/a || From table 'Table 4' (Previous research on the degradation of microplastic with microbes and microalga); organism_guess=n/a
P071c805165df,"[untitled reference, doi=10.1007/978-981-10-2621-8_17]",10.1007/978-981-10-2621-8_17,,,,,AUTHOR UNKNOWN,europe_pmc_references,review_reference,references of P452d16b2c0c8 (Engineering microbes for direct fermentation of cellulose to bioethanol),10.1080/07388551.2018.1452891,False,False,discovered,
P076b4123b50f,Bioactive Polysaccharides from Natural Sources: A Review on the Antitumor and Immunomodulating Activities,10.1016/j.bcab.2019.101425,,,,,,europe_pmc_table_reference,review_reference,table extraction: Application and Research Prospects of CRISPR/Cas Gene Editing Technolo / Table 1,10.3390/microorganisms14040739,False,False,discovered,From table 'Table 1' (Probiotic Properties of Selected Lactic Acid Bacteria.); organism_guess=Streptococcus thermophilus Lactobacillus delbrueckii Bulgaricus Leuconostoc mesenteroides || From table 'Table 1' (Probiotic Properties of Selected Lactic Acid Bacteria.); organism_guess=Streptococcus thermophilus Lactobacillus delbrueckii Bulgaricus Leuconostoc mesenteroides || From table 'Table 1' (Probiotic Properties of Selected Lactic Acid Bacteria.); organism_guess=Streptococcus thermophilus Lactobacillus delbrueckii Bulgaricus Leuconostoc mesenteroides
P0787472864c1,"CRISPRi System as an Efficient, Simple Platform for Rapid Identification of Genes Involved in Pollutant Transformation by Aeromonas Hydrophila",10.1021/acs.est.9b07191,32109355,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Aeromonas hydrophila || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Aeromonas hydrophila || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Aeromonas hydrophila || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Aeromonas hydrophila || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Aeromonas hydrophila || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Aeromonas hydrophila
P0791d01bdd92,Exogenous application of RNAi-inducing double-stranded RNA inhibits aphid-mediated transmission of a plant virus,10.3389/fpls.2019.00265,30930914,,,,,europe_pmc_table_reference,review_reference,table extraction: Control Strategies of Plant Viruses Using Spray-Induced Gene Silencing / Table 1,10.5423/ppj.rw.10.2025.0148,False,False,discovered,From table 'Table 1' (Double-stranded RNA-based SIGS application for control against different genera ); organism_guess=n/a || From table 'Table 1' (Double-stranded RNA-based SIGS application for control against different genera ); organism_guess=n/a || From table 'Table 1' (Double-stranded RNA-based SIGS application for control against different genera ); organism_guess=n/a
P07e60e080998,Essential Gene Analysis in Acinetobacter Baumannii by High-Density Transposon Mutagenesis and CRISPR Interference,10.1128/JB.00565-20,33782056,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,"From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Acinetobacter baumannii, A. baylyi || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Acinetobacter baumannii, A. baylyi || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Acinetobacter baumannii, A. baylyi || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Acinetobacter baumannii, A. baylyi || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Acinetobacter baumannii, A. baylyi || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Acinetobacter baumannii, A. baylyi"
P08c07a8ddb3d,Microplastic accumulation and degradation in environment via biotechnological approaches,10.3390/w14244053,,,,,,europe_pmc_table_reference,review_reference,table extraction: Plastic pollution and degradation pathways: A review on the treatment  / Table 2,10.1016/j.heliyon.2024.e28849,False,False,discovered,From table 'Table 2' (The relationship of microorganisms in degrading microplastic and the related Sus); organism_guess=n/a || From table 'Table 2' (The relationship of microorganisms in degrading microplastic and the related Sus); organism_guess=n/a || From table 'Table 2' (The relationship of microorganisms in degrading microplastic and the related Sus); organism_guess=n/a
P08c18c8b3fe1,An Expanded Synthetic Biology Toolkit for Gene Expression Control in Acetobacteraceae,10.1021/acssynbio.8b00168,30865830,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,"From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Komagataeibacter hansenii, K. xylinus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Komagataeibacter hansenii, K. xylinus || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Komagataeibacter hansenii, K. xylinus"
P0986dac37ed3,Tuning Gene Activity by Inducible and Targeted Regulation of Gene Expression in Minimal Bacterial Cells,10.1021/acssynbio.8b00028,29786424,,,,,europe_pmc_table_reference,review_reference,table extraction: CRISPR-Based Approaches for Gene Regulation in Non-Model Bacteria / TABLE 1,10.3389/fgeed.2022.892304,False,False,discovered,"From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Mycoplasma pneumoniae M. , M. || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Mycoplasma pneumoniae M. , M. || From table 'TABLE 1' (CRISPRi/a studies in non-model bacteria and their key characteristics.); organism_guess=Mycoplasma pneumoniae M. , M."
P09b92c908c11,A clinical trial to evaluate the safety and immunogenicity of the LEISH-F1  MPL-SE vaccine for use in the prevention of visceral leishmaniasis,10.1016/j.vaccine.2011.02.096,21414377,,,,,europe_pmc_table_reference,review_reference,table extraction: Leishmaniasis vaccine research: current status and new directions / Table 1.,10.1017/s0031182025101522,False,False,discovered,From table 'Table 1.' (Human vaccines used in Leishmania studiesTable 1 long description.); organism_guess=n/a || From table 'Table 1.' (Human vaccines used in Leishmania studiesTable 1 long description.); organism_guess=n/a || From table 'Table 1.' (Human vaccines used in Leishmania studiesTable 1 long description.); organism_guess=n/a
P0ac97fea292c,Bacteriocins of Lactic Acid Bacteria as Biotechnological Tools in Food and Pharmaceuticals: Current Applications and Future Prospects,10.1016/j.bcab.2020.101750,,,,,,europe_pmc_table_reference,review_reference,table extraction: Application and Research Prospects of CRISPR/Cas Gene Editing Technolo / Table 1,10.3390/microorganisms14040739,False,False,discovered,From table 'Table 1' (Probiotic Properties of Selected Lactic Acid Bacteria.); organism_guess=Lactococcus lactis Enterococcus faecium Lactiplantibacillus plantarum Lactobacillus sakei Pediococcus pentosaceus Lactobacillus reuteri || From table 'Table 1' (Probiotic Properties of Selected Lactic Acid Bacteria.); organism_guess=Lactococcus lactis Enterococcus faecium Lactiplantibacillus plantarum Lactobacillus sakei Pediococcus pentosaceus Lactobacillus reuteri || From table 'Table 1' (Probiotic Properties of Selected Lactic Acid Bacteria.); organism_guess=Lactococcus lactis Enterococcus faecium Lactiplantibacillus plantarum Lactobacillus sakei Pediococcus pentosaceus Lactobacillus reuteri
P0b3aecc6dd5f,"[untitled reference, doi=10.15376/biores.9.3.5114-5124]",10.15376/biores.9.3.5114-5124,,,,,AUTHOR UNKNOWN,europe_pmc_references,review_reference,references of P452d16b2c0c8 (Engineering microbes for direct fermentation of cellulose to bioethanol),10.1080/07388551.2018.1452891,False,False,discovered,
