observation_id,paper_id,organism_name,strain_name,organism_domain,wild_type_status,wild_type_evidence,manipulation_category,manipulation_detail,outcome,failure_reason,evidence_text,section_name,genome_accession,genome_match_status,marine_status,isolation_source,environment,qc_flags,notes,extraction_method,llm_model
P010da0446b22-OBS04,P010da0446b22,Paenibacillus sonchi,genomovar Riograndensis SBR5,bacteria,yes,"Paenibacillus sonchi genomovar Riograndensis SBR5 (DSM 28159) was used as the expression host; Escherichia coli strain DH5α (Stratagene) was used as general cloning host. Paenibacillus sonchi genomovar Riograndensis SBR5 Wild-type strain, expression host",CRISPR-Cas9,,success,,"Effect of CRISPRi on biofilm formation by P. sonchi: Spo0A regulates biofilm development in B. subtilis and B. methanolicus (Hamon and Lazazzera 2001; Bustin et al. 2009; Schultenkämper et al. 2019). To investigate biofilm formation in P. sonchi strains expressing spo0A and yaaT sgRNAs, biofilm formation was measured in a crystal violet assay. This result reflects the negative impact of Spo0A and YaaT on biofilm formation by SBR5. Thus, as expected, significant enhancements of biofilm formation were observed upon targeting spo0A and yaaT, although less dominant in the latter case (Fig. 7).",fulltext,DSM 28159,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P018376861d30-OBS01,P018376861d30,Rhodococcus opacus,,bacteria,yes,"In particular, it has a relatively rapid growth rate, exhibits genetic tractability, produces high quantities of lipids, and can tolerate and consume toxic lignin-derived aromatic compounds.",CRISPR-Cas9,,success,,"Finally, the first reported system for targeted, tunable gene repression in Rhodococcus was developed by utilizing CRISPR interference (CRISPRi).",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0422b6975d81-OBS01,P0422b6975d81,Bacillus amyloliquefaciens,205,bacteria,no,,CRISPR-Cas9,,success,,"A series of CRISPR genome editing tools have been successfully constructed for gene knockout, transcript repression and activation in 205 genome.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0422b6975d81-OBS02,P0422b6975d81,Bacillus amyloliquefaciens,205,bacteria,no,,other,CRISPR/dCas9,success,,"At this basis, sporulation related genes spo0A and spoIIAC were knockout and suppressed with CRISPR/Cas9 and CRISPR/dCas9 respectively.",abstract,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P0422b6975d81-OBS03,P0422b6975d81,Bacillus amyloliquefaciens,205,bacteria,no,,other,dCas9-ω,success,,"Whereafter, dCas9-ω was used to activate amyE-205 expression both at genome and plasmid.",abstract,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P0422b6975d81-OBS04,P0422b6975d81,Bacillus amyloliquefaciens,205,bacteria,no,,plasmid introduction,,success,,"In order to facilitate plasmid transformation to strain 205, an interspecific plasmid transformation method was improved with 5-13 times higher in transformants than that of electronic transformation.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0422b6975d81-OBS05,P0422b6975d81,Bacillus amyloliquefaciens,205spo -,bacteria,no,,gene knockout,,success,,The double knockout strain 205spo - was eliminated sporulation with 22.8% increasing of α-amylase activity.,abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0422b6975d81-OBS06,P0422b6975d81,Bacillus amyloliquefaciens,205PG8spo -,bacteria,no,,heterologous expression,,success,,The final engineered strain 205PG8spo - achieved 784.3% promotion on α-amylase activity than the starting strain 205.,abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P050687079f6b-OBS01,P050687079f6b,Bifidobacterium bifidum,,bacteria,yes,,conjugation,,success,,"In this system, chlorin e6 (Ce6) nanoparticles (NPs) were prepared and incorporated into B. bifidum, followed by the conjugation of anti-death receptor 5 antibody (anti-DR5 Ab).",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P06283cb1f048-OBS01,P06283cb1f048,Streptomyces lividans,XC,bacteria,no,,plasmid introduction,,success,,"This vector was transformed into S. lividans 1326 (named XC strain in Table 1).Fig. 4Schematic representation of xylose-induced expression vectors pXC, pXCBR, pLR, and pXCPR. oriT, origin of transfer; oriV, replication origin of E. coli from pK18mob (ATCC® 87095™); rep pIJ101 and rep pSG5, replicon of Streptomyces from pIJ101 [25] and pGM160 [36]; tsr, thiostrepton resistance gene; km, kanamycin resistance gene Table 1Plasmids and strains used in this studyPlasmid or strainRelevant featurePlasmid pIJ350Versatile vector for protein expression; thiostrepton resistance marker pUC19Vector for cloning genes pGM160A shuttle vector containing pSG5 ori pK18mobCloning vector; oriT, oriV; kanamycin resistance marker pXCVector for expression of chitobiase gene (SAV_5268) under the control of xylA promoter; thiostrepton resistance marker pXCBRVector for expression of chitobiase gene (SAV_5268) under the control of xylA promoter and xylR gene under the control of xylB promoter; thiostrepton resistance marker pLRVector containing pSG5 ori for expression of xylR gene under the control of pld promoter; kanamycin resistance marker pXCPRVector for expression of chitobiase gene (SAV_5268) under the control of xylA promoter and xylR gene under the control of pld promoter; thiostrepton resistance markerStrain Escherichia coli strain JM109recA1 endA1 gyrA96 thi-1 hsdR17 (rK− mK+) e14− (mcrA−) supE44 relA1 Δ(lacproAB)/F’[traD36 proAB + lacI q lacZΔM15] S. lividans 1326WT strain XCStreptomyces lividans strain harboring pXC vector XCBRStreptomyces lividans strain harboring pXCBR vector XCrStreptomyces lividans strain harboring pXC and pLR vectors XCPRStreptomyces lividans strain harboring pXCPR vector",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P06283cb1f048-OBS02,P06283cb1f048,Streptomyces lividans,XCBR,bacteria,no,,plasmid introduction,,success,,The expression vector was transformed into S. lividans 1326 (named XCBR strain in Table 1).,fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P06283cb1f048-OBS03,P06283cb1f048,Streptomyces lividans,XCr,bacteria,no,,plasmid introduction,,success,,"Streptomyces cinnamoneum phospholipase D (PLD) promoter was selected to control xylR gene expression in pLR and pXCPR vectors [26]. pXC (vector for expression of chitobiase gene, Fig. 4a) and pLR vectors were transformed into S. lividans 1326 (named XCr strain in Table 1).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P06283cb1f048-OBS04,P06283cb1f048,Streptomyces lividans,XCPR,bacteria,no,,plasmid introduction,,success,,pXCPR vector was transformed into S. lividans 1326 (named XCPR strain in Table 1).,fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P07e60e080998-OBS01,P07e60e080998,Acinetobacter baumannii,ATCC 17978,bacteria,yes,,transposon mutagenesis,,success,,"In addition, we show that capsule biosynthesis is a conditionally essential process, with mutations in late-acting steps causing toxicity in strain ATCC 17978 that can be bypassed by blocking early-acting steps or activating the BfmRS stress response.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P07e60e080998-OBS02,P07e60e080998,Acinetobacter baumannii,,bacteria,yes,,CRISPR-Cas9,,success,,We show that the CRISPRi system enables efficient transcriptional silencing in A. baumannii.,abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P07e60e080998-OBS03,P07e60e080998,Acinetobacter baumannii,,bacteria,yes,,other,CRISPR-based gene knockdown,success,,"We also developed a CRISPR-based gene knockdown tool that operates efficiently in A. baumannii, allowing rapid analysis of these essential genes.",abstract,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P08c18c8b3fe1-OBS01,P08c18c8b3fe1,Gluconacetobacter xylinus,ATCC 700178,bacteria,yes,,CRISPR-Cas9,,success,,"We further applied our tools to synthesize a biodegradable cellulose-chitin copolymer, adjust the structure of the cellulose film produced, and implement CRISPR interference for ready down-regulation of gene expression.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P08c18c8b3fe1-OBS02,P08c18c8b3fe1,Gluconacetobacter hansenii,ATCC 53582,bacteria,yes,,CRISPR-Cas9,,success,,"We further applied our tools to synthesize a biodegradable cellulose-chitin copolymer, adjust the structure of the cellulose film produced, and implement CRISPR interference for ready down-regulation of gene expression.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P08c18c8b3fe1-OBS03,P08c18c8b3fe1,Komagataeibacter rhaeticus,iGEM,bacteria,yes,,CRISPR-Cas9,,success,,"We further applied our tools to synthesize a biodegradable cellulose-chitin copolymer, adjust the structure of the cellulose film produced, and implement CRISPR interference for ready down-regulation of gene expression.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0986dac37ed3-OBS01,P0986dac37ed3,Mycoplasma pneumoniae,,bacteria,yes,,CRISPR-Cas9,,success,,"Here we demonstrate systems for inducible repression of gene expression based on clustered regularly interspaced short palindromic repeats-mediated interference (CRISPRi) in Mycoplasma pneumoniae and synthetic Mycoplasma mycoides, two organisms with reduced genomes actively used in systems biology studies.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0986dac37ed3-OBS02,P0986dac37ed3,synthetic Mycoplasma mycoides,,bacteria,no,,CRISPR-Cas9,,success,,"Here we demonstrate systems for inducible repression of gene expression based on clustered regularly interspaced short palindromic repeats-mediated interference (CRISPRi) in Mycoplasma pneumoniae and synthetic Mycoplasma mycoides, two organisms with reduced genomes actively used in systems biology studies.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0986dac37ed3-OBS03,P0986dac37ed3,Mycoplasma pneumoniae,,bacteria,yes,,CRISPR-Cas9,,success,,"Targeting the ksgA gene with CRISPRi removes the lethal effect of kasugamycin and enables cell growth, thereby establishing specific and effective gene modulation with our system.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0986dac37ed3-OBS04,P0986dac37ed3,synthetic Mycoplasma mycoides,,bacteria,no,,CRISPR-Cas9,,success,,"Targeting the ksgA gene with CRISPRi removes the lethal effect of kasugamycin and enables cell growth, thereby establishing specific and effective gene modulation with our system.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0986dac37ed3-OBS05,P0986dac37ed3,Mycoplasma pneumoniae,,bacteria,yes,,CRISPR-Cas9,,partial,,"Targeting of six selected endogenous genes with this system results in lowered transcript levels or reduced growth rates that agree with lack or shortage of data in previous transposon bombardment studies, and now produces actual cells to analyze.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0c999ae29765-OBS01,P0c999ae29765,grass carp,CIK,bacteria,no,,CRISPR-Cas9,,success,,"In this study, we exploited CRISPR/Cas9 gene editing to specifically knockout the DNA sequence of the grass carp Junctional Adhesion Molecule-A (gcJAM-A) and evaluated in vitro resistance against various GCRV genotypes.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0c999ae29765-OBS02,P0c999ae29765,grass carp,CIK,bacteria,no,,CRISPR-Cas9,,success,,"Our results show that CRISPR/Cas9 effectively knocked out gcJAM-A and reduced GCRV infection for two different genotypes in permissive grass carp kidney cells (CIK), as evidenced by suppressed cytopathic effect (CPE) and GCRV progeny production in infected cells.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0c999ae29765-OBS03,P0c999ae29765,Chinese giant salamander,GSM,bacteria,no,,other,ectopic expression,failure,,"In addition, with ectopic expression of gcJAM-A in cells, non-permissive cells derived from Chinese giant salamander (Andrias davidianus) muscle (GSM) could be highly infected by both GCRV-JX0901 and Hubei grass carp disease reovirus (HGDRV) strains that have different genotypes.",abstract,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P0eb3a02a33d8-OBS01,P0eb3a02a33d8,Synechococcus elongatus,PCC 7942,bacteria,no,,natural transformation,,success,,"For natural transformation, pure culture was grown at 30°C and 38°C in conventional BG-11 or low phosphate (LP) BG-11 (containing 0.023 mM K2HPO4) at 30°C. Collected cells were pelleted and resuspended in 100 μl of conventional BG-11 (BG-11 without phosphate for LP culture) and mixed with 500 ng of ΔglgA gene deletion construct (Addgene, plasmid#101841).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0eb3a02a33d8-OBS02,P0eb3a02a33d8,Synechococcus elongatus,PCC 7942,bacteria,no,,homologous recombination,,success,,"The constructed plasmid was transformed into E. coli DH5α and reconfirmed by colony PCR and sequencing with MDLJCSTR495 and MDLJCSTR496 primer pairs. glgA- was a gift from Erin O’Shea (Addgene plasmid # 1018412; RRID:Addgene_101841) (Puszynska and O’Shea, 2017).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P0eb3a02a33d8-OBS03,P0eb3a02a33d8,Synechococcus elongatus,PCC 7942,bacteria,no,,gene knockout,,success,,"Using ΔglgA deletion plasmid, the natural transformation was performed, and positive clones were validated by amplifying the upstream and downstream regions of the glgA gene (Figures 3A–C).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P11e62097ae4a-OBS01,P11e62097ae4a,M. smegmatis,mc2155,bacteria,no,,gene knockout,,success,,"A total of 879 genes were subjected to gene-replacement recombineering and, of these, 569 genes were successfully targeted after two attempts (Fig. 1b and Table S1).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P11e62097ae4a-OBS02,P11e62097ae4a,M. smegmatis,mc2155,bacteria,no,,other,CRISPRi,success,,A total of 843 genes were targeted for transcriptional repression by CRISPRi.,fulltext,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P11e62097ae4a-OBS03,P11e62097ae4a,M. smegmatis,mc2155,bacteria,no,,gene knockout,,partial,,"Seventeen candidates were identified from an initial library of 468 deletion mutants. The mutant phenotypes had one of three morphotypes (Fig. 2a): (i) hyper-pellicle formation (e.g., ΔMSMEG_5256), (ii) smooth pellicle with no or little architecture (ΔMSMEG_1824), or (iii) no biofilm (ΔMSMEG_4323).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P11e62097ae4a-OBS04,P11e62097ae4a,M. smegmatis,mc2155,bacteria,no,,gene knockout,,failure,"four of the 1,153 core genes: MSMEG_1672, 1828, 4225, and 6327","We were unsuccessful in creating a knockout or a CRISPRi-targeting clone for four of the 1,153 core genes: MSMEG_1672, 1828, 4225, and 6327.",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P11e62097ae4a-OBS05,P11e62097ae4a,M. smegmatis,mc2155,bacteria,no,,gene knockout,,success,,"MSMEG_5439 encodes resuscitation promoting factor B (rpfB); when rpfB and rpfA (a paralog) mutants are combined, the resulting strain has altered colony and biofilm morphologies (39).",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P11e62097ae4a-OBS06,P11e62097ae4a,M. smegmatis,mc2155,bacteria,no,,gene knockout,,success,,Deletion of the M. tuberculosis hadC gene (Rv0637; MSMEG_1342 homolog shares 68% amino acid identity) reduced biofilm thickness and resulted in the loss of extra-long mycolic acids from cell wall fractions (40).,fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P124c6ed18081-OBS01,P124c6ed18081,Mycobacterium tuberculosis,H37Rv,bacteria,yes,"The survival of M. tuberculosis strains was assessed in 7H9/OADC/Tween 80 medium supplemented with 5 ng/mL MMC (wild-type and ΔrecA) and 100 ng/mL aTc (control CRISPR-Cas9 strain and mutants: pafBCCRISPRi/dCas9 and ΔrecA pafBCCRISPRi/dCas9) at an OD600 of 0.05 using standard CFU methodology at the following time points: 0 h, 48 h, 96 h, and 168 h.",CRISPR-Cas9,,success,,The resulting recombinant strains carrying dCas9 and sgRNA were verified by PCR using the appropriate primers Crispr/Cas9-F and Crispr/Cas9-R (Table S2).,fulltext,NC_018143.2,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P124c6ed18081-OBS02,P124c6ed18081,Mycobacterium tuberculosis,ΔrecA,bacteria,no,,gene knockout,,failure,"The viability of ΔrecA decreased significantly (p < 0.05) compared to the wild-type Mtb and to the CRISPRi/dCas9 mutant depleted of PafBC after exposure to 5, 10, and 15 mJ UV radiation, in both stationary and logarithmic phases of growth.","The viability of ΔrecA decreased significantly (p < 0.05) compared to the wild-type Mtb and to the CRISPRi/dCas9 mutant depleted of PafBC after exposure to 5, 10, and 15 mJ UV radiation, in both stationary and logarithmic phases of growth.",fulltext,NC_018143.2,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P124c6ed18081-OBS03,P124c6ed18081,Mycobacterium tuberculosis,pafBCCRISPRi/dCas9,bacteria,no,,other,CRISPRi/dCas9,partial,The depletion of PafBC sensitized the mutant strain to UV light compared to the wild-type strain (p < 0.05) in the logarithmic but not the stationary phase of growth.,The depletion of PafBC sensitized the mutant strain to UV light compared to the wild-type strain (p < 0.05) in the logarithmic but not the stationary phase of growth.,fulltext,NC_018143.2,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P124c6ed18081-OBS04,P124c6ed18081,Mycobacterium tuberculosis,ΔrecA pafBCCRISPRi/dCas9,bacteria,no,,other,CRISPRi/dCas9,partial,"The viability of a single ΔrecA mutant decreased at the 72 h time point significantly more than pafBCCRISPRi/dCas9 (p < 0.05), but at the 168 h time point all mutants were sensitized to MMC at similar levels (Figure 1C).","The viability of a single ΔrecA mutant decreased at the 72 h time point significantly more than pafBCCRISPRi/dCas9 (p < 0.05), but at the 168 h time point all mutants were sensitized to MMC at similar levels (Figure 1C).",fulltext,NC_018143.2,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P13927d85eba0-OBS01,P13927d85eba0,Synechococcus sp. strain PCC 7002,PCC 7002,bacteria,no,,CRISPR-Cas9,,success,,We have adapted the clustered regularly interspersed palindromic repeats (CRISPR) system from Streptococcus pyogenes to repress genes in trans in the cyanobacterium Synechococcus sp. strain PCC 7002 (hereafter PCC 7002).,abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P13927d85eba0-OBS02,P13927d85eba0,Synechococcus sp. strain PCC 7002,PCC 7002,bacteria,no,,other,CRISPR interference,success,,"With this approach, termed CRISPR interference (CRISPRi), transcription of a specific target sequence is repressed by a catalytically inactive Cas9 protein recruited to the target DNA by base-pair interactions with a single guide RNA that is complementary to the target sequence.",abstract,,not_checked,unknown,unknown,unknown,manipulation_category_uncertain,,automated_qwen,qwen3:4b-instruct-16k
P13927d85eba0-OBS03,P13927d85eba0,Synechococcus sp. strain PCC 7002,PCC 7002,bacteria,no,,gene knockout,,partial,,"In addition, we created a conditional auxotroph by repressing synthesis of the carboxysome, an essential component of the carbon concentrating mechanism cyanobacteria use to fix atmospheric CO 2 .",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P17e754b1877a-OBS01,P17e754b1877a,Anabaena sp.,,bacteria,yes,,CRISPR-Cas9,,success,,"In the present study, a heterocyst-specific conditional gene repression system was successfully created by combining a cell type-specific gene induction system with CRISPRi technology.",abstract,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P1851edfd42c6-OBS01,P1851edfd42c6,Escherichia coli,DH5α,bacteria,no,,heterologous expression,,success,,"In this study, the non-pathogenic E. coli DH5α strain was employed to prepare engineered OMVs displaying a previously identified immunogenic outer membrane protein of A. baumannii, Omp2224, which served as a representative antigen.",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P1851edfd42c6-OBS02,P1851edfd42c6,Escherichia coli,W-15,bacteria,no,,gene knockout,,success,,"To obtain an E. coli ClyA gene, a clinical pathogenic W-15 strain was used as a PCR template in this study. In comparison, the ClyA gene from the E. coli DH5α strain lacked a C base at position 217 and an A base at position 493 (Fig. 1B and Supplementary Figure 1), resulting in a frame shift mutation and translation termination at the 126th amino acid. The W-15 strain expressed the full-length and functional ClyA protein of 303 amino acids.",fulltext,,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
P1851edfd42c6-OBS03,P1851edfd42c6,Acinetobacter baumannii,ATCC 17978,bacteria,yes,,other,,unclear,,The Omp22 gene (Accession number: CP000521; region: 1025531 to 1026184) amplified from A. baumannii strain ATCC 17978 was cloned between the BamHI and SalI sites (Takara) (Fig. 1A).,fulltext,CP000521,not_checked,unknown,unknown,unknown,,,automated_qwen,qwen3:4b-instruct-16k
