observation_id,paper_id,organism_name,strain_name,organism_domain,wild_type_status,wild_type_evidence,manipulation_category,manipulation_detail,outcome,failure_reason,evidence_text,section_name,genome_accession,genome_match_status,marine_status,isolation_source,environment,qc_flags,notes
P76647c572525-OBS01,P76647c572525,Picochlorum celeri,not specified in abstract,eukaryota,unclear,Described as 'new highly productive strains of algae'; specific ancestry of the transformed strain not given in the abstract.,CRISPR-Cas9,"CRoxP system: Cas9 RNPs plus inducible Cre-loxP for marker-free, multiplexed LHCII/LHCI knockouts.",success,,"In P. celeri, transformants were generated with a turnaround time as short as 21 days between transformation and being ready for another round of transformation with the same selection marker by using the CRoxP system.",abstract,,not_checked,unknown,unknown,unknown,strain_uncertain,"Microalga (unicellular eukaryote) -- kept per spec section 12, not folded into the bacterial set."
Pb5aeedee757f-OBS01,Pb5aeedee757f,Bacillus subtilis,wild-type (unspecified designation),bacteria,yes,Explicitly 'Wild-type Bacillus strains'.,CRISPR-Cas9,Standard CRISPR/Cas9 genome editing without toxicity mitigation.,failure,"Cas9/sgRNA activity is cellularly toxic in wild-type strains, crippling transformation and editing.",the practical application of CRISPR/Cas9 in most wild-type Bacillus strains remains challenging due to cellular toxicity resulting from Cas9/sgRNA activity.,abstract,,not_checked,unknown,unknown,unknown,,Paired with anti-CRISPR-rescued success row below.
Pb5aeedee757f-OBS02,Pb5aeedee757f,Bacillus subtilis,wild-type (unspecified designation),bacteria,yes,Same wild-type strains as above.,CRISPR-Cas9,CRISPR/anti-CRISPR (CAC) plasmid: AcrIIA4 anti-CRISPR protein co-expressed with Cas9 under separate inducible promoters (Pspac/Pxyl).,success,,"Under xylose induction, the CAC plasmid led to a remarkable 139-fold increase in the transformation efficiency of wild-type Bacillus subtilis compared to a plasmid lacking anti-CRISPR. ... Upon IPTG induction, the genome editing efficiency in wild-type B. subtilis increased from 0 to 95.8% in transformants carrying the CAC plasmid.",abstract,,not_checked,unknown,unknown,unknown,,
Pb5aeedee757f-OBS03,Pb5aeedee757f,"Bacillus pumilus, Bacillus mojavensis, Bacillus tequilensis, Paenibacillus polymyxa",wild-type (unspecified designation),bacteria,yes,Extension of the wild-type Bacillus-strain CAC approach to additional wild-type species.,CRISPR-Cas9,CAC (Cas9 + AcrIIA4) system used to generate spo0A knockout mutants.,success,,"we demonstrated that the CAC system successfully enabled the generation of spo0A mutants in Bacillus mojavensis, Bacillus tequilensis, and Paenibacillus polymyxa.",abstract,,not_checked,unknown,unknown,unknown,strain_uncertain,Exact strain designations not given in abstract.
Pbff6c5debde9-OBS01,Pbff6c5debde9,Vibrio fischeri,non-canonical strain (exact designation not in abstract; recipient of ES114-derived DNA),bacteria,yes,Contrasted explicitly with the 'laboratory-adapted strain ES114' as a 'non-canonical' strain.,natural transformation,Genomic DNA carrying a Tn7 attTn7-site insertion (built first in surrogate strain ES114) used to transform a non-canonical strain via induced natural transformation.,success,,"Genomic DNA extracted from the resulting strain is used as template for transformation of another strain, in which natural transformation is induced. As a proof of principle, this approach is used to complement an rpoN mutant with an IPTG-inducible rpoN construct in trans.",abstract,,not_checked,marine,host-associated (squid symbiont),host-associated,strain_uncertain,Exact recipient strain name not given in the abstract; needs full text.
Pcd8678c9705e-OBS01,Pcd8678c9705e,Escherichia coli,clinical isolate O55,bacteria,unclear,Described as a 'clinical isolate'; not explicitly confirmed free of prior lab domestication.,plasmid transformation,Attempted transformation of each of two cryptic native plasmids independently.,failure,Plasmids depend on each other to replicate; independent transformation could not establish either plasmid alone.,"Attempts to transform the plasmids independently were unsuccessful; however, they remained stable when the cells were co-transformed.",abstract,,not_checked,unknown,clinical isolate,host-associated,,Paired failure/success pair from the same paper.
Pcd8678c9705e-OBS02,Pcd8678c9705e,Escherichia coli,clinical isolate O55,bacteria,unclear,Same clinical isolate as above.,plasmid transformation,Co-transformation of both cryptic plasmids together.,success,,they remained stable when the cells were co-transformed.,abstract,,not_checked,unknown,clinical isolate,host-associated,,
P4210ed091a8b-OBS01,P4210ed091a8b,"Synechocystis sp., Synechococcus elongatus, Synechococcus sp.",PCC 6803 / PCC 7942 / UTEX 3153,bacteria,yes,"Standard axenic reference cyanobacterial culture-collection strains, not lab-engineered derivatives.",plasmid transformation,"BPP Bioportide (protein-based DNA delivery) transformation of plasmid and linear DNA, tested with as little as 10 ng DNA input.",success,,"BPP Bioportide™ variants BP-17 and BP-12 significantly improved transformation efficiency of both plasmid and linear DNA, even with minimal DNA input of 10 ng, surpassing conventional methods and enabling modification of previously non-model strains.",abstract,,not_checked,freshwater/marine (mixed cyanobacterial strains),culture collection,unknown,,Also reports successful double homologous recombination and genomic segregation (colony-PCR validated) but with no explicit failure quote.
P87aebc2e178f-OBS01,P87aebc2e178f,Synechocystis sp.,PCC 6803 (PSI-kd/ΔPBS background strain),bacteria,no,"Mutants were made in a purpose-built engineered background strain (PSI knockdown + phycobilisome knockout), not directly in wild-type PCC 6803.",gene knock-in,Site-directed mutagenesis at PsbH Thr5 in an engineered PSI-kd/ΔPBS background.,success,,"All mutants were capable of heterotrophic growth (without noticeable differences from wild-type), indicating the PSII function remains intact.",abstract,,not_checked,unknown,culture collection,unknown,,Secondary/engineered-background record per spec section 8; original WT PCC 6803 tractability not directly re-tested here.
P903c532e3aeb-OBS01,P903c532e3aeb,Pseudoalteromonas flavipulchra,DSM 14401,bacteria,yes,"Deposited type/reference strain (DSM culture collection number), used directly as the editing target.",CRISPR-Cas9,RECC: Red/ET recombineering combined with CRISPR/Cas9 cleavage in one Gibson-assembled construct; used to replace the native promoter of a silent NRPS-PKS gene cluster.,success,,"Using Pseudoalteromonas flavipulchra DSM 14401 as a model, we employed RECC to replace the native promoter of a silent nonribosomal peptide synthetase-polyketide synthase (NRPS-PKS) hybrid gene cluster with a strong constitutive promoter. This targeted activation led to the production of a series of previously unknown cyclolipopeptides",abstract,,not_checked,marine,marine isolate,marine,,
P9d7287ce9040-OBS01,P9d7287ce9040,Acinetobacter baumannii,A2485 (donor) to ATCC 17978 (recipient),bacteria,yes,"Clinical isolate donor and a standard reference clinical-isolate-lineage recipient strain, not artificially domesticated derivatives.",plasmid maintenance,Outer-membrane-vesicle (OMV)-mediated transfer of a blaOXA-72 plasmid from a high-OMV-producing clinical isolate into a recipient strain.,success,,"OMVs from A2485 transferred the blaOXA-72 plasmid to ATCC 17978 at 1.9 × 10−7 transformants per CFU, exceeding direct supernatant transfer at 3.2 × 10−8 transformants per CFU, and conferred resistance to meropenem, ceftazidime, and cefoperazone/sulbactam.",abstract,,not_checked,unknown,clinical isolate,host-associated,,Paired with cross-species failure row below.
P9d7287ce9040-OBS02,P9d7287ce9040,13 non-Acinetobacter baumannii strains,not individually specified in abstract,bacteria,unclear,Recipient panel composition (species/strain identities) not detailed in the abstract.,plasmid maintenance,"Same OMV-mediated plasmid-transfer attempt, tested across 13 non-A. baumannii recipient strains.",failure,Strong cross-species barrier; transfer restricted to A. baumannii only.,"Transfer was strictly donor-specific, with no transmission observed across 13 non-A. baumannii strains, and recipient strains failed to retransmit the plasmid, indicating a strong cross-species barrier and a non-reciprocal, donor-dependent process.",abstract,,not_checked,unknown,clinical isolate,host-associated,strain_uncertain,Full text needed to identify the 13 recipient strains individually.
P55b1d34001d5-OBS01,P55b1d34001d5,Streptomyces hygroscopicus,SIPI-054,bacteria,yes,Described as an industrial production strain distinct from the model S. coelicolor system; no domestication markers given.,CRISPR-Cas9,Standard SpCas9- or FnCpf1-based genome editing.,failure,Editing tool ineffective in this strain.,"AsCas12f1 was successfully extended to Streptomyces hygroscopicus SIPI-054 for efficient genome editing, in which SpCas9/FnCpf1 does not work well.",abstract,,not_checked,unknown,unknown,unknown,,Paired with AsCas12f1 success row below.
P55b1d34001d5-OBS02,P55b1d34001d5,Streptomyces hygroscopicus,SIPI-054,bacteria,yes,Same strain as above.,other CRISPR-Cas systems,Miniature Type V-F CRISPR/Cas nuclease AsCas12f1-based genome editing.,success,,AsCas12f1 was successfully extended to Streptomyces hygroscopicus SIPI-054 for efficient genome editing,abstract,,not_checked,unknown,unknown,unknown,,
P55b1d34001d5-OBS03,P55b1d34001d5,Streptomyces coelicolor,not specified in abstract,bacteria,unclear,"Likely the standard M145-type lab derivative given the field convention, but not stated in the abstract.",CRISPR-Cas9,AsCas12f1 all-in-one editing tool for single/double gene or gene-cluster deletion.,success,,"we achieved 100% efficiency for single gene or gene cluster deletion and 46.7 and 40% efficiency for simultaneous deletion of two genes and two gene clusters, respectively.",abstract,,not_checked,unknown,unknown,unknown,strain_uncertain wild_type_uncertain,
Pc02adabb613e-OBS01,Pc02adabb613e,Ureaplasma parvum,three serovars (exact numbers not in abstract),bacteria,yes,No domestication described; standard serovar reference strains.,transposon mutagenesis,PEG-transformation-enhanced delivery of a Tn4001-based mini-transposon plasmid (gentamicin resistance marker).,success,,"Using a polyethylene glycol-transformation enhancing protocol, we were able to transform three separate serovars of Ureaplasma parvum with a Tn4001-based mini-transposon plasmid containing a gentamicin resistance selection marker.",abstract,,not_checked,unknown,unknown,host-associated,strain_uncertain,Contrasts directly with U. urealyticum failure row below -- a close relative with the same protocol.
Pc02adabb613e-OBS02,Pc02adabb613e,Ureaplasma urealyticum,multiple strains (exact designations not in abstract),bacteria,yes,No domestication described.,transposon mutagenesis,Same Tn4001-based mini-transposon protocol attempted in parallel.,failure,"Despite large sequence homology to the successfully-transformed U. parvum, transformation failed for all but one isolate.","Despite the large degree of homology between Ureaplasma parvum and Ureaplasma urealyticum, all attempts to transform the latter in parallel failed, with the exception of a single clinical U. urealyticum isolate.",abstract,,not_checked,unknown,unknown,host-associated,strain_uncertain,"Paired failure/single-exception-success set, matches spec's Vibrio-sp.-X worked example."
Pc02adabb613e-OBS03,Pc02adabb613e,Ureaplasma urealyticum,single clinical isolate (exact designation not in abstract),bacteria,yes,Described as a clinical isolate; no domestication markers.,transposon mutagenesis,Same Tn4001-based mini-transposon protocol; this one isolate succeeded where all sibling strains failed.,success,,"all attempts to transform the latter in parallel failed, with the exception of a single clinical U. urealyticum isolate.",abstract,,not_checked,unknown,clinical isolate,host-associated,strain_uncertain,
Pf198f9eb69d2-OBS01,Pf198f9eb69d2,Chlamydia trachomatis,not specified in abstract (protocol chapter),bacteria,unclear,"Protocol/methods chapter; specific strain lineage not stated in the abstract, though FRAEM is an established method in this field.",allelic exchange,Fluorescence-Reported Allelic Exchange Mutagenesis (FRAEM) using suicide vector pSUmC for complete chromosomal gene deletions.,success,,"Fluorescence-reported allelic exchange mutagenesis (FRAEM), using the suicide vector pSUmC, enables targeted deletion of desired chromosomal DNA.",abstract,,not_checked,unknown,unknown,host-associated,strain_uncertain wild_type_uncertain,"Methods-in-Molecular-Biology protocol chapter, not a primary results paper; kept because it documents a specific established successful method rather than being a pure review."
Pcd139fa7a701-OBS01,Pcd139fa7a701,Clostridium thermocellum,not specified in abstract,bacteria,yes,"Described as lagging model organisms in genetic tractability, i.e., a non-model wild-type-derived strain; no domestication markers given.",CRISPR-Cas9,"Native Type I-B CRISPR system repurposed for genome editing; introduces a nonsense mutation into pyrF via homology-directed repair, combined with novel thermophilic recombinases (Acidithiobacillus caldus exo/beta homologs).",success,,"For the Type I-B system an engineered strain, termed LL1586, yielded 40% genome editing efficiency at the pyrF locus and when recombineering machinery was expressed this increased to 71%.",abstract,,not_checked,unknown,unknown,unknown,,Paired with heterologous Type II system below.
Pcd139fa7a701-OBS02,Pcd139fa7a701,Clostridium thermocellum,not specified in abstract,bacteria,yes,Same species/background as above.,other CRISPR-Cas systems,Heterologous Type II GeoCas9 (from Geobacillus stearothermophilus) tested among three thermophilic Cas9 variants.,success,,"We tested three thermophilic Cas9 variants (Type II) and found that GeoCas9, isolated from Geobacillus stearothermophilus, is active in C. thermocellum. ... For the Type II GeoCas9 system, 12.5% genome editing efficiency was observed and when recombineering machinery was expressed, this increased to 94%.",abstract,,not_checked,unknown,unknown,unknown,,Also notes homologous recombination was the rate-limiting step for both editing systems -- mechanistic failure detail worth a full-text follow-up.
P39329395b93b-OBS01,P39329395b93b,Clostridium cellulovorans,743B (wild-type),bacteria,yes,Explicitly 'the C. cellulovorans wildtype strain 743B'.,conjugation,Attempted conjugative plasmid transfer into the unmodified wild-type recipient.,failure,Native SMC-like Wadjet system (jetABCD) restricts plasmid uptake by conjugation.,This study demonstrates the impact of a Structure Maintenance of Chromosome (SMC)-like Wadjet system on the horizontal gene transfer of plasmids by conjugation to a recipient that naturally containing such a system for the first time.,abstract,,not_checked,unknown,unknown,unknown,,"Textbook WT-vs-engineered-derivative pair, spec section 8 example; paired with ΔjetABCD success row below."
P39329395b93b-OBS02,P39329395b93b,Clostridium cellulovorans,ΔjetABCD (derived from wildtype 743B),bacteria,no,Engineered markerless chromosomal deletion of jetABCD from the wild-type 743B strain.,conjugation,Conjugative plasmid transfer into the jetABCD deletion mutant.,success,,The transconjugation frequency of the jetABCD mutant was increased by about five orders of magnitude compared to wildtype C. cellulovorans recipient cells.,abstract,,not_checked,unknown,unknown,unknown,,Secondary/engineered-derivative record per spec section 8.
P784f53e48d7c-OBS01,P784f53e48d7c,brown algae (Ectocarpus and 3 other species),not specified in abstract,eukaryota,unclear,"Wild/natural strain status not explicitly confirmed in the abstract, though described as a previously recalcitrant non-model lineage.",other CRISPR-Cas systems,"PEG-mediated Cas12 RNP delivery (temperature-tolerant Cas12 variant), transgene-free, applied across 4 brown algal species including kelps.",success,Prior methods were inadequate; kelps were 'long considered recalcitrant to transformation'.,"The protocol was readily transferrable to other species, including kelps long considered recalcitrant to transformation.",abstract,,not_checked,marine,marine,marine,strain_uncertain,"Multicellular marine algae, not strictly unicellular; kept per spec's broad microbial-eukaryote allowance but flagged for domain review."
Pc2aeffefadb1-OBS01,Pc2aeffefadb1,Leuconostoc mesenteroides,H32-02 Ksu,bacteria,unclear,Described as a food-biotechnology production strain; not explicitly confirmed free of prior lab adaptation.,electroporation,"Electroporation protocol optimization (cell-wall weakening, osmotic protection, pulse tuning, plasmid methylation matching to host restriction profile).",success,Baseline protocols were inconsistent/irreproducible before optimization.,"even widely accepted electroporation methodologies often yield inconsistent or irreproducible transformation results ... The combined optimization resulted in an approximately 40-fold increase in transformation efficiency compared to the baseline level and, for the first time, provided consistently reproducible access to transformants of this strain.",abstract,,not_checked,unknown,food/industrial,industrial,wild_type_uncertain,
Pcb4a6fe7dfb6-OBS01,Pcb4a6fe7dfb6,Chlamydia trachomatis,plasmid-free recipient (exact designation not in abstract),bacteria,yes,Plasmid-free reference recipient strain used directly for transformation; no domestication described.,plasmid transformation,Transformation attempt with an engineered plasmid lacking the Pgp2 β-hairpin motif (11 amino acids deleted).,failure,Deletion of the Pgp2 β-hairpin motif abolished the replication initiator's iteron-binding function needed for plasmid replication.,"Although this deletion did not alter the overall structure of Pgp2, the mutated plasmid failed to transform plasmid-free C. trachomatis.",abstract,,not_checked,unknown,unknown,host-associated,strain_uncertain,"Failure attributable to the plasmid construct, not the recipient strain's intrinsic competence."
Pfbb0f2088e38-OBS01,Pfbb0f2088e38,Alcaligenes faecalis,J481,bacteria,yes,Described as 'an environmentally significant bacterium'; no domestication markers given.,other CRISPR-Cas systems,Heterologous CRISPR-Cas systems attempted prior to this study.,failure,Cytotoxicity of the heterologous CRISPR-Cas system.,technologies based on heterologous CRISPR-Cas systems failed due to cytotoxicity.,abstract,,not_checked,unknown,environmental isolate,unknown,,Paired with native-system success row below.
Pfbb0f2088e38-OBS02,Pfbb0f2088e38,Alcaligenes faecalis,J481,bacteria,yes,Same strain as above.,other CRISPR-Cas systems,Endogenous type I-F CRISPR-Cas system repurposed for genome editing; PheS-mutant counterselection marker for plasmid curing.,success,,"The toolkit enables efficient single-gene knockout and accomplishes the previously unattainable precise deletion of large genomic fragments. By engineering a PheS-mutant counterselection marker, we achieved rapid plasmid curing, allowing two rounds of large-fragment removal (~47 kb total) within 5 days.",abstract,,not_checked,unknown,environmental isolate,unknown,,
Pf1aff6378733-OBS01,Pf1aff6378733,Escherichia coli,Nissle 1917 (wild-type),bacteria,yes,Explicitly 'wild-type EcN' as the comparator to the engineered landing-pad strain.,electroporation,Direct electroporation of large (17-29 kb) exogenous DNA fragments.,failure,Could not stably maintain large plasmids after direct electroporation.,direct electroporation failed to stably maintain large plasmids in wild-type EcN.,abstract,,not_checked,unknown,probiotic/host-associated,host-associated,,Paired with engineered-landing-pad success row below.
Pf1aff6378733-OBS02,Pf1aff6378733,Escherichia coli,Nissle 1917 EcN-lox (engineered landing-pad derivative),bacteria,no,"EcN-lox carries an engineered loxP-hyg-lox5171 cassette replacing native clbB, built specifically as a recombination landing pad.",stable genomic integration,"Recombinase-mediated cassette exchange (RMCE) to integrate large DNA fragments (17 kb, 29 kb; ultimately a 10-kb astaxanthin operon) at the engineered landing pad.",success,,"this RMCE system exhibited superior efficiency in integrating large exogenous DNA fragments, successfully mediating the integration of 17 kb and 29 kb gene cluster segments, while direct electroporation failed to stably maintain large plasmids in wild-type EcN.",abstract,,not_checked,unknown,probiotic/host-associated,host-associated,,Secondary/engineered-derivative record per spec section 8.
Pe96591953493-OBS01,Pe96591953493,Bifidobacterium animalis subsp. lactis,6 commercial strains (exact designations not in abstract),bacteria,yes,Commercial probiotic strains; described as 'this species remains difficult to engineer' with no stated prior domestication.,CRISPR-Cas9,"Endogenous Type I-G CRISPR-Cas system leveraged for genome editing; redesigned backbone plasmids (pBC1 origin, chloramphenicol marker) tested across 6 strains for transformation efficiency.",success,,A vector carrying the pBC1 origin coupled with a chloramphenicol resistance marker improved transformation in most strains. ... we generated knockouts in three glycoside hydrolases within the Balac 1593-1601 cluster,abstract,,not_checked,unknown,probiotic/host-associated,host-associated,strain_uncertain,Individual commercial strain designations not given in abstract.
Pc0e19cb63463-OBS01,Pc0e19cb63463,Aspergillus calidoustus,not specified in abstract,eukaryota,unclear,Described as 'a non-model environmental mold'; exact strain lineage not given.,CRISPR-Cas9,Expression-free CRISPR/Cas9-directed mutagenesis (short homology regions guiding integration of a nourseothricin-resistance cassette at CRISPR/Cas9-induced double-strand breaks) targeting pyrG.,success,,"we have deleted A. calidoustus pyrG, encoding orotidine-5'-phosphate decarboxylase, using short regions of homology to guide on-target integration of a nourseothricin resistance cassette (NatR) to CRISPR/Cas9-induced double strand breaks. We genotypically and phenotypically validated two A. calidoustus ΔpyrG deletion strains",abstract,,not_checked,unknown,soil,soil,strain_uncertain,"Filamentous soil mold (eukaryote), kept per spec section 12 as a non-bacterial record."
P22d90c522a7c-OBS01,P22d90c522a7c,Rhizobium etli,strain carrying native plasmid p42d,bacteria,yes,No domestication described; standard R. etli strain carrying its native repABC plasmid.,plasmid introduction,Attempted introduction of a minimal repC-based replicon (from the same p42d repABC system) into a strain already carrying native p42d.,failure,"Incompatibility: RepC of the same origin acts as an incompatibility factor, blocking introduction of a second copy.","The minimal replicon could not be introduced into R. etli strain containing p42d, but similar constructs that carried repC from Sinorhizobium meliloti pSymA or the linear chromosome of Agrobacterium tumefaciens replicated in the presence or absence of p42d, indicating that RepC is an incompatibility factor.",abstract,,not_checked,unknown,unknown,soil,,Paired with heterologous-replicon success row below.
P22d90c522a7c-OBS02,P22d90c522a7c,Rhizobium etli,strain carrying native plasmid p42d,bacteria,yes,Same strain background as above.,plasmid introduction,Introduction of a repC-based minimal replicon carrying repC from a heterologous source (Sinorhizobium meliloti pSymA or Agrobacterium tumefaciens linear chromosome).,success,,similar constructs that carried repC from Sinorhizobium meliloti pSymA or the linear chromosome of Agrobacterium tumefaciens replicated in the presence or absence of p42d,abstract,,not_checked,unknown,unknown,soil,,
P27ec52fc562a-OBS01,P27ec52fc562a,Salmonella enterica serovar Enteritidis,SH12G706-C (transformant) / CRSE isolate panel,bacteria,yes,Clinical/food-source CRSE isolates from an epidemiological survey; no domestication described.,conjugation,Conjugation and chemical-transformation experiments used to demonstrate mobility of blaCTX-M-55-carrying plasmids.,success,,Conjugation and transformation experiments along with plasmid replicon typing revealed that blaCTX-M-55 was located on plasmids of various replicon types with sizes ranging from 76.8 to 138.9 kb.,abstract,,not_checked,unknown,clinical/food isolate,host-associated,strain_uncertain,"AMR-surveillance paper; conjugation/transformation used as a mechanistic confirmation step rather than the paper's central aim, but a genuine successful manipulation attempt nonetheless."
P26462f6ed9b0-OBS01,P26462f6ed9b0,Klebsiella pneumoniae,KPTCM,bacteria,yes,Clinical bloodstream-infection isolate; no domestication described.,conjugation,Conjugation and chemical transformation experiments performed as part of strain characterization.,success,,"Conjugation, chemical transformation, string test and Galleria mellonella infection model experiments were also conducted.",abstract,,not_checked,unknown,clinical isolate,host-associated,strain_uncertain outcome_uncertain,Abstract confirms the experiments were run but does not state the conjugation/transformation result explicitly; outcome inferred as attempted/likely successful given downstream WGS of a resulting construct. Flagged for full-text confirmation.
Peee22fa6dc9e-OBS01,Peee22fa6dc9e,Klebsiella pneumoniae,3 KPC-14-producing CRKP isolates (exact designations not in abstract),bacteria,yes,Clinical isolates from ICU patients; no domestication described.,conjugation,"Conjugation experiments testing horizontal transfer of an IncFII/IncR plasmid carrying blaKPC-14 into E. coli EC600, alone vs. co-transfer with a second plasmid-borne tet(A) gene.",mixed,Single-gene transfer of blaKPC-14 alone on the IncFII/IncR plasmid failed; only co-transfer with the tet(A)-carrying element succeeded.,"The horizontal transferability of these integrated plasmids to Escherichia coli EC600 was confirmed by the cotransmission of tet(A) and blaKPC-14 genes, but the single transfer of blaKPC-14 on the IncFII/IncR plasmid failed.",abstract,,not_checked,unknown,clinical isolate,host-associated,strain_uncertain,"Direct example of a documented conjugation failure alongside a successful co-transfer, from a clinical AMR paper."
